County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,0,0,0,0,4394.84,7910.71,12305.55
Albemarle,0,0,0,0,7843.21,14117.78,21960.99
Alexandria,0,0,0,0,8685.57,15634.03,24319.6
Alleghany ,0,0,0,0,4215.98,7588.76,11804.74
Amelia,0,0,0,0,5070.42,9126.76,14197.18
Amherst ,0,0,0,0,5143.72,9258.7,14402.42
Appomattox,0,0,0,0,4764.54,8576.17,13340.71
Arlington,0,0,0,0,10712.7,19282.86,29995.56
Augusta,0,0,0,0,6112.41,11002.34,17114.75
Bath,0,0,0,0,4716.54,8489.77,13206.31
Bedford,0,0,0,0,5934.48,10682.06,16616.54
Bland,0,0,0,0,4691.01,8443.82,13134.83
Botetourt,0,0,0,0,6150.25,11070.45,17220.7
Bristol,0,0,0,0,3416.97,6150.55,9567.52
Brunswick,0,0,0,0,4049.21,7288.58,11337.79
Buchanan,0,0,0,0,3226.65,5807.97,9034.62
Buckingham,0,0,0,0,4524.69,8144.44,12669.13
Buena Vista,0,0,0,0,4162.33,7492.19,11654.52
Campbell ,0,0,0,0,4785.25,8613.45,13398.7
Caroline,0,0,0,0,6593.55,11868.39,18461.94
Carroll,0,0,0,0,4018.41,7233.14,11251.55
Charles City,0,0,0,0,5376.15,9677.07,15053.22
Charlotte,0,0,0,0,3736.91,6726.44,10463.35
Charlottesville,0,0,0,0,5337.16,9606.89,14944.05
Chesapeake,0,0,0,0,7199.05,12958.29,20157.34
Chesterfield,0,0,0,0,7559.88,13607.78,21167.66
Clarke,0,0,0,0,8727.38,15709.28,24436.66
Colonial Heights,0,0,0,0,5827.93,10490.27,16318.2
Covington,0,0,0,0,3265.48,5877.86,9143.34
Craig ,0,0,0,0,5180.4,9324.72,14505.12
Culpeper,0,0,0,0,7344.96,13220.93,20565.89
Cumberland ,0,0,0,0,4360.98,7849.76,12210.74
Danville,0,0,0,0,3269.6,5885.28,9154.88
Dickenson ,0,0,0,0,3350.09,6030.16,9380.25
Dinwiddie,0,0,0,0,6412.49,11542.48,17954.97
Emporia,0,0,0,0,3773.83,6792.89,10566.72
Essex,0,0,0,0,4316.95,7770.51,12087.46
Fairfax,0,0,0,0,11473.43,20652.17,32125.6
Fairfax,0,0,0,0,10148.17,18266.71,28414.88
Falls Church,0,0,0,0,11826.62,21287.92,33114.54
Fauquier,0,0,0,0,9897.55,17815.59,27713.14
Floyd,0,0,0,0,4693,8447.4,13140.4
Fluvanna,0,0,0,0,7028.6,12651.48,19680.08
Franklin,0,0,0,0,5223.97,9403.15,14627.12
Franklin,0,0,0,0,4977.63,8959.73,13937.36
Frederick,0,0,0,0,7307.12,13152.82,20459.94
Fredericksburg,0,0,0,0,6524.84,11744.71,18269.55
Galax,0,0,0,0,3167.19,5700.94,8868.13
Giles ,0,0,0,0,4954.24,8917.63,13871.87
Gloucester,0,0,0,0,6396.51,11513.72,17910.23
Goochland ,0,0,0,0,9072.09,16329.76,25401.85
Grayson,0,0,0,0,3276.18,5897.12,9173.3
Greene,0,0,0,0,6517.2,11730.96,18248.16
Greensville,0,0,0,0,4338.2,7808.76,12146.96
Halifax ,0,0,0,0,3763.81,6774.86,10538.67
