County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Albemarle,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Alexandria,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Alleghany,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Amelia,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Amherst,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Appomattox,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Arlington,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Augusta,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Bath,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Bedford,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Bland,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Botetourt,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Bristol,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Brunswick,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Buchanan,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Buckingham,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Buena Vista,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Campbell,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Caroline,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Carroll,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Charles,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Charlotte,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Charlottesville,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Chesapeake,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Chesterfield,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Clarke,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Colonial Heights,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Covington,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Craig,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Culpeper,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Cumberland,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Danville,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Dickenson,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Dinwiddie,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Emporia,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Essex,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Fairfax,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Fairfax,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Falls Church,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Fauquier,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Floyd,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Fluvanna,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Franklin,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Franklin,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Frederick,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Fredericksburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Galax,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Giles,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Gloucester,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Goochland,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Grayson,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Greene,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Greensville,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Halifax,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Hampton,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Hanover,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Harrisonburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Henrico,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Henry,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Highland,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Hopewell,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Isle Of Wight,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
James,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
King George,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
King William,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
King And Queen,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Lancaster,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Lee,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Lexington,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Loudoun,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Louisa,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Lunenburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Lynchburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Madison,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Manassas,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Manassas Park,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Martinsville,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Mathews,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Mecklenburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Middlesex,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Montgomery,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Nelson,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
