County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+),,,
Accomack,381.7,1561.71,825.87,3305.21,461.39,2109.04,,,
Albemarle,714.98,2474.75,1191.6,4418.04,790.26,3027.17,,,
Alexandria,884.48,2941.6,1467.11,5126.7,998.07,3759.71,,,
Alleghany,421.76,1592.39,808.26,3432.27,494.41,2095.54,,,
Amelia,618.56,2138.5,995.37,3895.63,700.89,2710.81,,,
Amherst,468.87,1695.48,836.87,3393.38,552.96,2263.67,,,
Appomattox,480.32,1734.75,850.96,3468.57,560,2279.62,,,
Arlington,982.66,3287.77,1706.41,5739.57,1116.41,4041.75,,,
Augusta,503.65,1805.92,902.91,3681.48,578.94,2329.94,,,
Bath,384.78,1501.58,780.08,3277.98,474.59,2104.13,,,
Bedford,498.37,1801.02,871.21,3558.03,574.97,2329.94,,,
Bland,379.5,1479.49,750.58,3184.63,454.78,1998.6,,,
Botetourt,452.14,1759.29,869.45,3639.29,526.54,2278.4,,,
Bristol,404.59,1581.35,784.04,3367.44,483.84,2123.77,,,
Brunswick,379.5,1441.45,744.42,3202.78,452.14,1944.6,,,
Buchanan,412.96,1523.67,768.63,3135.36,497.05,2089.41,,,
Buckingham,394.9,1589.94,829.39,3324.66,477.68,2152,,,
Buena Vista,394.46,1610.8,819.7,3316.88,460.51,2079.59,,,
Campbell,468.87,1695.48,836.87,3393.38,556.04,2280.85,,,
Caroline,551.2,1976.51,962.79,3819.92,637.49,2564.33,,,
Carroll,393.14,1555.58,774.8,3311.69,468.87,2079.59,,,
Charles City,632.65,2209.67,1057.84,4056.79,716.3,2793.79,,,
Charlotte,378.62,1435.31,743.1,3192.41,456.54,1971.6,,,
Charlottesville,712.78,2538.56,1203.87,4577.04,785.42,3081.62,,,
Chesapeake,634.41,2178.99,1059.68,4062.2,712.34,2727.67,,,
Chesterfield,712.34,2415.84,1167.06,4244.99,793.79,3005.13,,,
Clarke,799.95,2662.84,1288.55,4509.98,865.99,3171.08,,,
Colonial Heights,604.47,2068.55,1004.61,3846.96,695.17,2680.99,,,
Covington,421.76,1592.39,808.26,3440.05,503.65,2148.31,,,
Craig,452.14,1759.29,869.45,3639.29,532.71,2310.3,,,
Culpeper,518.62,1855.01,921.4,3792.88,594.35,2377.8,,,
Cumberland,424.84,1612.03,807.37,3379.11,509.82,2185.13,,,
Danville,348.24,1424.27,740.89,3123.7,424.4,1949.51,,,
Dickenson,384.78,1505.26,758.94,3232.6,477.68,2127.45,,,
Dinwiddie,617.24,2133.59,1026.54,3944.3,693.85,2666.73,,,
Emporia,390.94,1470.9,786.24,3305.21,477.68,2055.05,,,
Essex,441.13,1707.75,850.08,3590.45,526.1,2283.31,,,
Fairfax,866.43,2835.28,1425.38,4937.8,976.94,3620.98,,,
Fairfax,921.02,3040.13,1516.2,5232.69,1031.74,3823.26,,,
Falls Church,935.11,3082.92,1536.45,5281.61,1053.83,3870.86,,,
Fauquier,816.68,2748.41,1322.3,4632.2,900.33,3365.56,,,
Floyd,399.31,1581.35,781.84,3367.44,469.75,2074.68,,,
Fluvanna,642.78,2269.81,1086.68,4198.48,707.93,2748.41,,,
Franklin,481.64,1750.7,891.02,3608.6,553.4,2253.85,,,
Franklin,420.44,1560.48,801.21,3410.23,491.32,2055.05,,,
Frederick,623.84,2143.41,1027.77,4151.97,700.45,2678.4,,,
Fredericksburg,823.72,2788.6,1338.87,4688.44,919.26,3479.66,,,
Galax,393.14,1555.58,774.8,3311.69,460.94,2035.41,,,
Giles,414.28,1565.39,782.72,3195.01,491.32,2090.63,,,
Gloucester,594.79,2051.37,980.84,3859.94,666.11,2555.74,,,
Goochland,682.4,2355.71,1132.08,4225.52,754.6,2879.36,,,
Grayson,382.58,1494.22,755.86,3214.45,449.94,1969.14,,,
Greene,707.93,2549.61,1210.01,4590.02,786.3,3129.59,,,
