County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,145.5,145.5,210,210,145.5,210,1066.5
Albemarle,145.5,145.5,210,210,145.5,210,1066.5
Alexandria,145.5,145.5,210,210,145.5,210,1066.5
Alleghany,145.5,145.5,210,210,145.5,210,1066.5
Amelia,145.5,145.5,210,210,145.5,210,1066.5
Amherst,145.5,145.5,210,210,145.5,210,1066.5
Appomattox,145.5,145.5,210,210,145.5,210,1066.5
Arlington,145.5,145.5,210,210,145.5,210,1066.5
Augusta,145.5,145.5,210,210,145.5,210,1066.5
Bath,145.5,145.5,210,210,145.5,210,1066.5
Bedford,145.5,145.5,210,210,145.5,210,1066.5
Bland,145.5,145.5,210,210,145.5,210,1066.5
Botetourt,145.5,145.5,210,210,145.5,210,1066.5
Bristol,145.5,145.5,210,210,145.5,210,1066.5
Brunswick,145.5,145.5,210,210,145.5,210,1066.5
Buchanan,145.5,145.5,210,210,145.5,210,1066.5
Buckingham,145.5,145.5,210,210,145.5,210,1066.5
Buena Vista,145.5,145.5,210,210,145.5,210,1066.5
Campbell,145.5,145.5,210,210,145.5,210,1066.5
Caroline,145.5,145.5,210,210,145.5,210,1066.5
Carroll,145.5,145.5,210,210,145.5,210,1066.5
Charles,145.5,145.5,210,210,145.5,210,1066.5
Charlotte,145.5,145.5,210,210,145.5,210,1066.5
Charlottesville,145.5,145.5,210,210,145.5,210,1066.5
Chesapeake,145.5,145.5,210,210,145.5,210,1066.5
Chesterfield,145.5,145.5,210,210,145.5,210,1066.5
Clarke,145.5,145.5,210,210,145.5,210,1066.5
Colonial Heights,145.5,145.5,210,210,145.5,210,1066.5
Covington,145.5,145.5,210,210,145.5,210,1066.5
Craig,145.5,145.5,210,210,145.5,210,1066.5
Culpeper,145.5,145.5,210,210,145.5,210,1066.5
Cumberland,145.5,145.5,210,210,145.5,210,1066.5
Danville,145.5,145.5,210,210,145.5,210,1066.5
Dickenson,145.5,145.5,210,210,145.5,210,1066.5
Dinwiddie,145.5,145.5,210,210,145.5,210,1066.5
Emporia,145.5,145.5,210,210,145.5,210,1066.5
Essex,145.5,145.5,210,210,145.5,210,1066.5
Fairfax,145.5,145.5,210,210,145.5,210,1066.5
Fairfax,145.5,145.5,210,210,145.5,210,1066.5
Falls Church,145.5,145.5,210,210,145.5,210,1066.5
Fauquier,145.5,145.5,210,210,145.5,210,1066.5
Floyd,145.5,145.5,210,210,145.5,210,1066.5
Fluvanna,145.5,145.5,210,210,145.5,210,1066.5
Franklin,145.5,145.5,210,210,145.5,210,1066.5
Franklin,145.5,145.5,210,210,145.5,210,1066.5
Frederick,145.5,145.5,210,210,145.5,210,1066.5
Fredericksburg,145.5,145.5,210,210,145.5,210,1066.5
Galax,145.5,145.5,210,210,145.5,210,1066.5
Giles,145.5,145.5,210,210,145.5,210,1066.5
Gloucester,145.5,145.5,210,210,145.5,210,1066.5
Goochland,145.5,145.5,210,210,145.5,210,1066.5
Grayson,145.5,145.5,210,210,145.5,210,1066.5
Greene,145.5,145.5,210,210,145.5,210,1066.5
