County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+
Accomack,0,492.67,0,985.33,0,0
Albemarle,0,616.67,0,1233.33,0,0
Alexandria,0,1210.58,0,2421.17,0,0
Alleghany,0,456.75,0,913.50,0,0
Amelia,0,525.00,0,1050.00,0,0
Amherst,0,426.83,0,853.67,0,0
Appomattox,0,410.92,0,821.83,0,0
Arlington,0,1530.25,0,3060.50,0,0
Augusta,0,627.67,0,1255.33,0,0
Bath,0,614.42,0,1228.83,0,0
Bedford,0,504.58,0,1009.17,0,0
Bland,0,494.17,0,988.33,0,0
Botetourt,0,525.00,0,1050.00,0,0
Bristol,0,432.50,0,865.00,0,0
Brunswick,0,428.17,0,856.33,0,0
Buchanan,0,447.67,0,895.33,0,0
Buckingham,0,408.50,0,817.00,0,0
Buena Vista,0,559.58,0,1119.17,0,0
Campbell,0,528.58,0,1057.17,0,0
Caroline,0,710.33,0,1420.67,0,0
Carroll,0,432.50,0,865.00,0,0
Charles City,0,571.33,0,1142.67,0,0
Charlotte,0,434.67,0,869.33,0,0
Charlottesville,0,636.42,0,1272.83,0,0
Chesapeake,0,555.17,0,1110.33,0,0
Chesterfield,0,630.83,0,1261.67,0,0
Clarke,0,730.83,0,1461.67,0,0
Colonial Heights,0,677.92,0,1355.83,0,0
Covington,0,384.42,0,768.83,0,0
Craig,0,409.58,0,819.17,0,0
Culpeper,0,728.17,0,1456.33,0,0
Cumberland,0,434.67,0,869.33,0,0
Danville,0,360.42,0,720.83,0,0
Dickenson,0,432.50,0,865.00,0,0
Dinwiddie,0,577.42,0,1154.83,0,0
Emporia,0,570.92,0,1141.83,0,0
Essex,0,579.58,0,1159.17,0,0
Fairfax,0,909.17,0,1818.33,0,0
Fairfax,0,909.17,0,1818.33,0,0
Falls Church,0,1104.75,0,2209.50,0,0
Fauquier,0,703.67,0,1407.33,0,0
Floyd,0,463.17,0,926.33,0,0
Fluvanna,0,627.67,0,1255.33,0,0
Franklin,0,622.83,0,1245.67,0,0
Franklin,0,494.17,0,988.33,0,0
Frederick,0,627.67,0,1255.33,0,0
Fredericksburg,0,728.17,0,1456.33,0,0
Galax,0,432.50,0,865.00,0,0
Giles,0,463.17,0,926.33,0,0
Gloucester,0,617.75,0,1235.50,0,0
Goochland,0,685.17,0,1370.33,0,0
Grayson,0,432.50,0,865.00,0,0
Greene,0,627.67,0,1255.33,0,0
Greensville,0,552.67,0,1105.33,0,0
Halifax,0,408.50,0,817.00,0,0
Hampton,0,571.33,0,1142.67,0,0
Hanover,0,542.67,0,1085.33,0,0
Harrisonburg,0,559.67,0,1119.33,0,0
Henrico,0,542.25,0,1084.50,0,0
Henry,0,360.42,0,720.83,0,0
Highland,0,711.33,0,1422.67,0,0
Hopewell,0,617.75,0,1235.50,0,0
Isle Of Wight,0,426.83,0,853.67,0,0
James City,0,608.67,0,1217.33,0,0
King George,0,617.75,0,1235.50,0,0
King William,0,629.75,0,1259.50,0,0
King and Queen,0,522.17,0,1044.33,0,0
Lancaster,0,617.75,0,1235.50,0,0
Lee,0,432.50,0,865.00,0,0
Lexington,0,627.67,0,1255.33,0,0
Loudoun,0,1054.25,0,2108.50,0,0
Louisa,0,711.33,0,1422.67,0,0
Lunenburg,0,408.50,0,817.00,0,0
Lynchburg,0,528.58,0,1057.17,0,0
Madison,0,802.92,0,1605.83,0,0
Manassas,0,762.33,0,1524.67,0,0
Manassas Park,0,1104.75,0,2209.50,0,0
Martinsville,0,360.42,0,720.83,0,0
Mathews,0,492.83,0,985.67,0,0
Mecklenburg,0,463.17,0,926.33,0,0
Middlesex,0,617.75,0,1235.50,0,0
Montgomery,0,528.58,0,1057.17,0,0
Nelson,0,758.17,0,1516.33,0,0
New Kent,0,490.33,0,980.67,0,0
Newport News,0,628.50,0,1257.00,0,0
Norfolk,0,648.50,0,1297.00,0,0
Northampton,0,579.58,0,1159.17,0,0
Northumberland,0,617.75,0,1235.50,0,0
Norton,0,432.50,0,865.00,0,0
Nottoway,0,408.50,0,817.00,0,0
Orange,0,677.92,0,1355.83,0,0
Page,0,711.33,0,1422.67,0,0
Patrick,0,428.17,0,856.33,0,0
Petersburg,0,568.67,0,1137.33,0,0
Pittsylvania,0,410.92,0,821.83,0,0
Poquoson,0,703.00,0,1406.00,0,0
Portsmouth,0,648.42,0,1296.83,0,0
Powhatan,0,539.33,0,1078.67,0,0
Prince Edward,0,426.83,0,853.67,0,0
Prince George,0,577.42,0,1154.83,0,0
Prince William,0,735.58,0,1471.17,0,0
Pulaski,0,555.92,0,1111.83,0,0
Radford,0,360.42,0,720.83,0,0
