County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult 1 Child,2 Adults 2 Children,1 Adults 65+ ,2 Adults 65+,
Accomack,729.57,1167.312,1057.8765,1532.097,620.1345,1021.398,
Albemarle,762.14,1219.424,1105.103,1600.494,647.819,1066.996,
Alexandria,670.94,1073.504,972.863,1408.974,570.299,939.316,
Alleghany,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Amelia,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95,
Amherst,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Appomattox,810.99,1297.584,1175.9355,1703.079,689.3415,1135.386,
Arlington,677.46,1083.936,982.317,1422.666,575.841,948.444,
Augusta,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03,
Bath,719.8,1151.68,1043.71,1511.58,611.83,1007.72,
Bedford,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594,
Bland,732.82,1172.512,1062.589,1538.922,622.897,1025.948,
Botetourt,830.54,1328.864,1204.283,1744.134,705.959,1162.756,
Bristol,742.6,1188.16,1076.77,1559.46,631.21,1039.64,
Brunswick,697,1115.2,1010.65,1463.7,592.45,975.8,
Buchanan,830.54,1328.864,1204.283,1744.134,705.959,1162.756,
Buckingham,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594,
Buena Vista,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Campbell,807.74,1292.384,1171.223,1696.254,686.579,1130.836,
Caroline,846.82,1354.912,1227.889,1778.322,719.797,1185.548,
Carroll,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Charles City,739.34,1182.944,1072.043,1552.614,628.439,1035.076,
Charlotte,797.96,1276.736,1157.042,1675.716,678.266,1117.144,
Charlottesville,706.77,1130.832,1024.8165,1484.217,600.7545,989.478,
Chesapeake,869.62,1391.392,1260.949,1826.202,739.177,1217.468,
Chesterfield,872.88,1396.608,1265.676,1833.048,741.948,1222.032,
Clarke,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662,
Colonial Heights,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Covington,729.57,1167.312,1057.8765,1532.097,620.1345,1021.398,
Craig,905.45,1448.72,1312.9025,1901.445,769.6325,1267.63,
Culpeper,911.96,1459.136,1322.342,1915.116,775.166,1276.744,
Cumberland,758.88,1214.208,1100.376,1593.648,645.048,1062.432,
Danville,710.03,1136.048,1029.5435,1491.063,603.5255,994.042,
Dickenson,765.4,1224.64,1109.83,1607.34,650.59,1071.56,
Dinwiddie,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662,
Emporia,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594,
Essex,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238,
Fairfax,850.08,1360.128,1232.616,1785.168,722.568,1190.112,
Fairfax,895.68,1433.088,1298.736,1880.928,761.328,1253.952,
Falls Church,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Fauquier,911.96,1459.136,1322.342,1915.116,775.166,1276.744,
Floyd,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Fluvanna,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434,
Franklin,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238,
Franklin,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Frederick,872.88,1396.608,1265.676,1833.048,741.948,1222.032,
Fredericksburg,742.6,1188.16,1076.77,1559.46,631.21,1039.64,
Galax,762.14,1219.424,1105.103,1600.494,647.819,1066.996,
Giles,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03,
Gloucester,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434,
Goochland,801.22,1281.952,1161.769,1682.562,681.037,1121.708,
Grayson,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318,
Greene,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662,
Greensville,866.36,1386.176,1256.222,1819.356,736.406,1212.904,
Halifax,781.68,1250.688,1133.436,1641.528,664.428,1094.352,
Hampton,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318,
Hanover,850.08,1360.128,1232.616,1785.168,722.568,1190.112,
Harrisonburg,830.54,1328.864,1204.283,1744.134,705.959,1162.756,
Henrico,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594,
Henry,788.19,1261.104,1142.8755,1655.199,669.9615,1103.466,
Highland,736.08,1177.728,1067.316,1545.768,625.668,1030.512,
Hopewell,784.94,1255.904,1138.163,1648.374,667.199,1098.916,
Isle Of Wight,827.28,1323.648,1199.556,1737.288,703.188,1158.192,
James City,817.51,1308.016,1185.3895,1716.771,694.8835,1144.514,
King George,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674,
King William,898.93,1438.288,1303.4485,1887.753,764.0905,1258.502,
King and Queen,830.54,1328.864,1204.283,1744.134,705.959,1162.756,
Lancaster,631.86,1010.976,916.197,1326.906,537.081,884.604,
Lee,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03,
Lexington,661.17,1057.872,958.6965,1388.457,561.9945,925.638,
Loudoun,983.61,1573.776,1426.2345,2065.581,836.0685,1377.054,
Louisa,833.79,1334.064,1208.9955,1750.959,708.7215,1167.306,
Lunenburg,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674,
Lynchburg,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Madison,824.02,1318.432,1194.829,1730.442,700.417,1153.628,
Manassas,986.87,1578.992,1430.9615,2072.427,838.8395,1381.618,
Manassas Park,1068.3,1709.28,1549.035,2243.43,908.055,1495.62,
Martinsville,762.14,1219.424,1105.103,1600.494,647.819,1066.996,
Mathews,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27,
Mecklenburg,716.54,1146.464,1038.983,1504.734,609.059,1003.156,
Middlesex,713.28,1141.248,1034.256,1497.888,606.288,998.592,
Montgomery,784.94,1255.904,1138.163,1648.374,667.199,1098.916,
Nelson,739.34,1182.944,1072.043,1552.614,628.439,1035.076,
New Kent,846.82,1354.912,1227.889,1778.322,719.797,1185.548,
Newport News,765.4,1224.64,1109.83,1607.34,650.59,1071.56,
Norfolk,739.34,1182.944,1072.043,1552.614,628.439,1035.076,
Northampton,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27,
Northumberland,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27,
Norton,745.85,1193.36,1081.4825,1566.285,633.9725,1044.19,
Nottoway,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238,
Orange,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95,
Page,804.48,1287.168,1166.496,1689.408,683.808,1126.272,
Patrick,716.54,1146.464,1038.983,1504.734,609.059,1003.156,
Petersburg,719.8,1151.68,1043.71,1511.58,611.83,1007.72,
Pittsylvania,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Poquoson,872.88,1396.608,1265.676,1833.048,741.948,1222.032,
Portsmouth,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238,
Powhatan,866.36,1386.176,1256.222,1819.356,736.406,1212.904,
Prince Edward,732.82,1172.512,1062.589,1538.922,622.897,1025.948,
Prince George,915.22,1464.352,1327.069,1921.962,777.937,1281.308,
Prince William,1012.93,1620.688,1468.7485,2127.153,860.9905,1418.102,
Pulaski,739.34,1182.944,1072.043,1552.614,628.439,1035.076,
Radford,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594,
Rappahannock,843.56,1349.696,1223.162,1771.476,717.026,1180.984,
Richmond,693.74,1109.984,1005.923,1456.854,589.679,971.236,
Richmond,824.02,1318.432,1194.829,1730.442,700.417,1153.628,
Roanoke,726.31,1162.096,1053.1495,1525.251,617.3635,1016.834,
Roanoke,784.94,1255.904,1138.163,1648.374,667.199,1098.916,
Rockbridge,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Rockingham,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434,
Russell,784.94,1255.904,1138.163,1648.374,667.199,1098.916,
Salem,739.34,1182.944,1072.043,1552.614,628.439,1035.076,
Scott,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Shenandoah,810.99,1297.584,1175.9355,1703.079,689.3415,1135.386,
Smyth,749.11,1198.576,1086.2095,1573.131,636.7435,1048.754,
Southampton,784.94,1255.904,1138.163,1648.374,667.199,1098.916,
Spotsylvania,911.96,1459.136,1322.342,1915.116,775.166,1276.744,
Stafford,996.64,1594.624,1445.128,2092.944,847.144,1395.296,
Staunton,693.74,1109.984,1005.923,1456.854,589.679,971.236,
Suffolk,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434,
Surry,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238,
Sussex,801.22,1281.952,1161.769,1682.562,681.037,1121.708,
Tazewell,781.68,1250.688,1133.436,1641.528,664.428,1094.352,
Virginia Beach,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95,
Warren,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662,
Washington,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674,
Waynesboro,755.62,1208.992,1095.649,1586.802,642.277,1057.868,
Westmoreland,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318,
Williamsburg,703.51,1125.616,1020.0895,1477.371,597.9835,984.914,
Winchester,778.42,1245.472,1128.709,1634.682,661.657,1089.788,
Wise,758.88,1214.208,1100.376,1593.648,645.048,1062.432,
Wythe,736.08,1177.728,1067.316,1545.768,625.668,1030.512,
York,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662,
