County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult 1 Child,2 Adults 2 Children,1 Adults 65+,2 Adults 65+,
Accomack,547.51,876.016,793.8895,1149.771,465.3835,766.514,
Albemarle,571.95,915.12,829.3275,1201.095,486.1575,800.73,
Alexandria,503.52,805.632,730.104,1057.392,427.992,704.928,
Alleghany,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Amelia,611.06,977.696,886.037,1283.226,519.401,855.484,
Amherst,584.18,934.688,847.061,1226.778,496.553,817.852,
Appomattox,608.62,973.792,882.499,1278.102,517.327,852.068,
Arlington,508.4,813.44,737.18,1067.64,432.14,711.76,
Augusta,593.95,950.32,861.2275,1247.295,504.8575,831.53,
Bath,540.18,864.288,783.261,1134.378,459.153,756.252,
Bedford,596.4,954.24,864.78,1252.44,506.94,834.96,
Bland,549.96,879.936,797.442,1154.916,467.466,769.944,
Botetourt,623.28,997.248,903.756,1308.888,529.788,872.592,
Bristol,557.29,891.664,808.0705,1170.309,473.6965,780.206,
Brunswick,523.07,836.912,758.4515,1098.447,444.6095,732.298,
Buchanan,623.28,997.248,903.756,1308.888,529.788,872.592,
Buckingham,596.4,954.24,864.78,1252.44,506.94,834.96,
Buena Vista,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Campbell,606.17,969.872,878.9465,1272.957,515.2445,848.638,
Caroline,635.5,1016.8,921.475,1334.55,540.175,889.7,
Carroll,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Charles City,554.84,887.744,804.518,1165.164,471.614,776.776,
Charlotte,598.84,958.144,868.318,1257.564,509.014,838.376,
Charlottesville,530.4,848.64,769.08,1113.84,450.84,742.56,
Chesapeake,652.61,1044.176,946.2845,1370.481,554.7185,913.654,
Chesterfield,655.06,1048.096,949.837,1375.626,556.801,917.084,
Clarke,640.39,1024.624,928.5655,1344.819,544.3315,896.546,
Colonial Heights,584.18,934.688,847.061,1226.778,496.553,817.852,
Covington,547.51,876.016,793.8895,1149.771,465.3835,766.514,
Craig,679.5,1087.2,985.275,1426.95,577.575,951.3,
Culpeper,684.39,1095.024,992.3655,1437.219,581.7315,958.146,
Cumberland,569.51,911.216,825.7895,1195.971,484.0835,797.314,
Danville,532.85,852.56,772.6325,1118.985,452.9225,745.99,
Dickenson,574.4,919.04,832.88,1206.24,488.24,804.16,
Dinwiddie,640.39,1024.624,928.5655,1344.819,544.3315,896.546,
Emporia,596.4,954.24,864.78,1252.44,506.94,834.96,
Essex,581.73,930.768,843.5085,1221.633,494.4705,814.422,
Fairfax,637.95,1020.72,925.0275,1339.695,542.2575,893.13,
Fairfax,672.17,1075.472,974.6465,1411.557,571.3445,941.038,
Falls Church,584.18,934.688,847.061,1226.778,496.553,817.852,
Fauquier,684.39,1095.024,992.3655,1437.219,581.7315,958.146,
Floyd,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Fluvanna,630.62,1008.992,914.399,1324.302,536.027,882.868,
Franklin,581.73,930.768,843.5085,1221.633,494.4705,814.422,
Franklin,584.18,934.688,847.061,1226.778,496.553,817.852,
Frederick,655.06,1048.096,949.837,1375.626,556.801,917.084,
Fredericksburg,557.29,891.664,808.0705,1170.309,473.6965,780.206,
Galax,571.95,915.12,829.3275,1201.095,486.1575,800.73,
Giles,593.95,950.32,861.2275,1247.295,504.8575,831.53,
Gloucester,630.62,1008.992,914.399,1324.302,536.027,882.868,
Goochland,601.29,962.064,871.8705,1262.709,511.0965,841.806,
Grayson,564.62,903.392,818.699,1185.702,479.927,790.468,
Greene,640.39,1024.624,928.5655,1344.819,544.3315,896.546,
Greensville,650.17,1040.272,942.7465,1365.357,552.6445,910.238,
Halifax,586.62,938.592,850.599,1231.902,498.627,821.268,
