County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,0,0,0,0,1191.84,2145.31,3337.15
Albemarle,0,0,0,0,2127.01,3828.62,5955.63
Alexandria,0,0,0,0,2355.45,4239.81,6595.26
Alleghany ,0,0,0,0,1143.34,2058.01,3201.35
Amelia,0,0,0,0,1375.05,2475.09,3850.14
Amherst ,0,0,0,0,1394.93,2510.87,3905.8
Appomattox,0,0,0,0,1292.1,2325.78,3617.88
Arlington,0,0,0,0,2905.19,5229.34,8134.53
Augusta,0,0,0,0,1657.64,2983.75,4641.39
Bath,0,0,0,0,1279.09,2302.36,3581.45
Bedford,0,0,0,0,1609.38,2896.88,4506.26
Bland,0,0,0,0,1272.16,2289.89,3562.05
Botetourt,0,0,0,0,1667.9,3002.22,4670.12
Bristol,0,0,0,0,926.65,1667.97,2594.62
Brunswick,0,0,0,0,1098.11,1976.6,3074.71
Buchanan,0,0,0,0,875.04,1575.07,2450.11
Buckingham,0,0,0,0,1227.06,2208.71,3435.77
Buena Vista,0,0,0,0,1128.79,2031.82,3160.61
Campbell ,0,0,0,0,1297.72,2335.9,3633.62
Caroline,0,0,0,0,1788.12,3218.62,5006.74
Carroll,0,0,0,0,1089.76,1961.57,3051.33
Charles City,0,0,0,0,1457.97,2624.35,4082.32
Charlotte,0,0,0,0,1013.42,1824.16,2837.58
Charlottesville,0,0,0,0,1447.39,2605.3,4052.69
Chesapeake,0,0,0,0,1952.32,3514.18,5466.5
Chesterfield,0,0,0,0,2050.18,3690.32,5740.5
Clarke,0,0,0,0,2366.79,4260.22,6627.01
Colonial Heights,0,0,0,0,1580.49,2844.88,4425.37
Covington,0,0,0,0,885.57,1594.03,2479.6
Craig ,0,0,0,0,1404.88,2528.78,3933.66
Culpeper,0,0,0,0,1991.89,3585.4,5577.29
Cumberland ,0,0,0,0,1182.66,2128.79,3311.45
Danville,0,0,0,0,886.69,1596.04,2482.73
Dickenson ,0,0,0,0,908.52,1635.34,2543.86
Dinwiddie,0,0,0,0,1739.01,3130.22,4869.23
Emporia,0,0,0,0,1023.43,1842.17,2865.6
Essex,0,0,0,0,1170.72,2107.3,3278.02
Fairfax,0,0,0,0,3111.5,5600.7,8712.2
Fairfax,0,0,0,0,2752.1,4953.78,7705.88
Falls Church,0,0,0,0,3207.28,5773.1,8980.38
Fauquier,0,0,0,0,2684.13,4831.43,7515.56
Floyd,0,0,0,0,1272.7,2290.86,3563.56
Fluvanna,0,0,0,0,1906.1,3430.98,5337.08
Franklin,0,0,0,0,1416.7,2550.06,3966.76
Franklin,0,0,0,0,1349.89,2429.8,3779.69
Frederick,0,0,0,0,1981.63,3566.93,5548.56
Fredericksburg,0,0,0,0,1769.48,3185.06,4954.54
Galax,0,0,0,0,858.91,1546.04,2404.95
Giles ,0,0,0,0,1343.55,2418.39,3761.94
Gloucester,0,0,0,0,1734.68,3122.42,4857.1
Goochland ,0,0,0,0,2460.27,4428.49,6888.76
Grayson,0,0,0,0,888.47,1599.25,2487.72
Greene,0,0,0,0,1767.41,3181.34,4948.75
Greensville,0,0,0,0,1176.48,2117.66,3294.14
Halifax ,0,0,0,0,1020.71,1837.28,2857.99
Hampton,0,0,0,0,1404.47,2528.05,3932.52
Hanover ,0,0,0,0,2269.77,4085.59,6355.36
Harrisonburg,0,0,0,0,1238.52,2229.34,3467.86
Henrico,0,0,0,0,1790.81,3223.46,5014.27
Henry,0,0,0,0,1004.15,1807.47,2811.62
Highland,0,0,0,0,1304.73,2348.51,3653.24
Hopewell,0,0,0,0,1009.05,1816.29,2825.34
Isle of Wight,0,0,0,0,1992.31,3586.16,5578.47
James City ,0,0,0,0,2218.82,3993.88,6212.7
King and Queen,0,0,0,0,1510.03,2718.05,4228.08
King George ,0,0,0,0,2290.76,4123.37,6414.13
King William,0,0,0,0,1766.25,3179.25,4945.5
Lancaster ,0,0,0,0,1392.26,2506.07,3898.33
Lee,0,0,0,0,876.14,1577.05,2453.19
Lexington,0,0,0,0,1857.16,3342.89,5200.05
Loudoun,0,0,0,0,3704.19,6667.54,10371.73
Louisa ,0,0,0,0,1665.33,2997.59,4662.92
Lunenburg ,0,0,0,0,1128.83,2031.89,3160.72
Lynchburg,0,0,0,0,1239.68,2231.42,3471.1
Madison,0,0,0,0,1719.82,3095.68,4815.5
Manassas,0,0,0,0,2444.19,4399.54,6843.73
