County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Albemarle County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Alexandria City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Alleghany County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Amelia County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Amherst County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Appomattox County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Arlington County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Augusta County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bath County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bedford County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Botetourt County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bristol City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Brunswick County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buchanan County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buckingham County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buena Vista City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Campbell County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Caroline County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Carroll County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charles City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charlotte County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charlottesville City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Chesapeake City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Chesterfield County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Clarke County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Colonial Heights City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Covington City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Craig County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Culpeper County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Cumberland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Danville City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Dickenson County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Dinwiddie County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Emporia City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Essex County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Fairfax City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Fairfax County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Falls Church City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Fauquier County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Floyd County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Fluvanna County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Franklin City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Franklin County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Frederick County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Fredericksburg City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Galax City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Giles County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Gloucester County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Goochland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Grayson County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Greene County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Greensville County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Halifax County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Hampton City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Hanover County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Harrisonburg City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Henrico County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Henry County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Highland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Hopewell City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Isle of Wight County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
James City County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
King George County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
King William County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
King and Queen County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Lancaster County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Lee County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Lexington City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Loudoun County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Louisa County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Lunenburg County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Lynchburg City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Madison County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Manassas City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Manassas Park City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Martinsville City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Mathews County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Mecklenburg County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Middlesex County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Montgomery County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Nelson County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
New Kent County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Newport News City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Norfolk City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Northampton County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Northumberland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Norton City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Nottoway County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Orange County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Page County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Patrick County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Petersburg City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Pittsylvania County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Poquoson City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Portsmouth City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Powhatan County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince Edward County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince George County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince William County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Pulaski County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Radford City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rappahannock County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Richmond City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Richmond County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Roanoke City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Roanoke County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rockbridge County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rockingham County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Russell County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Salem City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Scott County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Shenandoah County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Smyth County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Southampton County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Spotsylvania County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Stafford County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Staunton City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
