County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Albemarle,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Alexandria,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Alleghany,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Amelia,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Amherst,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Appomattox,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Arlington,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Augusta,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bath,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bedford,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bland,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Botetourt,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Bristol,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Brunswick,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buchanan,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buckingham,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Buena Vista,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Campbell,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Caroline,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Carroll,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charles,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charlotte,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Charlottesville,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Chesapeake,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Chesterfield,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Clarke,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Colonial Heights,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Covington,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
