County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+,
Accomack,853.6,853.6,1034,1382.7,853.6,853.6,
Albemarle,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7,
Alexandria,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Alleghany,811.8,811.8,936.1,1311.2,811.8,811.8,
Amelia,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Amherst,1168.2,1168.2,1320,1811.7,1168.2,1168.2,
Appomattox,1168.2,1168.2,1320,1811.7,1168.2,1168.2,
Arlington,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Augusta,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4,
Bath,772.2,772.2,953.7,1240.8,772.2,772.2,
Bedford,1168.2,1168.2,1320,1811.7,1168.2,1168.2,
Bland,757.9,757.9,936.1,1311.2,757.9,757.9,
Botetourt,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8,
Bristol,906.4,906.4,1147.3,1477.3,906.4,906.4,
Brunswick,757.9,757.9,936.1,1311.2,757.9,757.9,
Buchanan,741.4,741.4,936.1,1243,741.4,741.4,
Buckingham,917.4,917.4,1028.5,1298,917.4,917.4,
Buena Vista,893.2,893.2,988.9,1386,893.2,893.2,
Campbell,1168.2,1168.2,1320,1811.7,1168.2,1168.2,
Caroline,996.6,996.6,1230.9,1724.8,996.6,996.6,
Carroll,776.6,776.6,936.1,1311.2,776.6,776.6,
Charles City,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Charlotte,713.9,713.9,936.1,1186.9,713.9,713.9,
Charlottesville,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7,
Chesapeake,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Chesterfield,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Clarke,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Colonial Heights,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Covington,811.8,811.8,936.1,1311.2,811.8,811.8,
Craig,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8,
Culpeper,1262.8,1262.8,1563.1,2070.2,1262.8,1262.8,
Cumberland,812.9,812.9,1004.3,1210,812.9,812.9,
Danville,755.7,755.7,936.1,1281.5,755.7,755.7,
Dickenson,757.9,757.9,936.1,1127.5,757.9,757.9,
Dinwiddie,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Emporia,782.1,782.1,1026.3,1402.5,782.1,782.1,
Essex,896.5,896.5,1106.6,1370.6,896.5,896.5,
Fairfax,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Fairfax,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Falls Church,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Fauquier,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Floyd,764.5,764.5,1003.2,1263.9,764.5,764.5,
Fluvanna,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7,
Franklin,858,858,958.1,1342,858,858,
Franklin,979,979,1283.7,1641.2,979,979,
Frederick,1378.3,1378.3,1725.9,2147.2,1378.3,1378.3,
Fredericksburg,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Galax,776.6,776.6,936.1,1311.2,776.6,776.6,
Giles,940.5,940.5,1041.7,1298,940.5,940.5,
Gloucester,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Goochland,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Grayson,845.9,845.9,936.1,1267.2,845.9,845.9,
Greene,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7,
Greensville,782.1,782.1,1026.3,1402.5,782.1,782.1,
Halifax,830.5,830.5,936.1,1190.2,830.5,830.5,
Hampton,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Hanover,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Harrisonburg,1196.8,1196.8,1531.2,2071.3,1196.8,1196.8,
Henrico,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Henry,748,748,936.1,1127.5,748,748,
Highland,757.9,757.9,936.1,1218.8,757.9,757.9,
Hopewell,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Isle Of Wight,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
James City,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
King George,1186.9,1186.9,1470.7,2060.3,1186.9,1186.9,
King William,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
King and Queen,1316.7,1316.7,1457.5,1809.5,1316.7,1316.7,
Lancaster,917.4,917.4,1133,1496,917.4,917.4,
Lee,767.8,767.8,936.1,1217.7,767.8,767.8,
Lexington,893.2,893.2,988.9,1386,893.2,893.2,
Loudoun,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Louisa,1107.7,1107.7,1226.5,1701.7,1107.7,1107.7,
Lunenburg,718.3,718.3,942.7,1214.4,718.3,718.3,
Lynchburg,1168.2,1168.2,1320,1811.7,1168.2,1168.2,
Madison,1004.3,1004.3,1205.6,1497.1,1004.3,1004.3,
Manassas,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Manassas Park,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Martinsville,748,748,936.1,1127.5,748,748,
Mathews,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Mecklenburg,744.7,744.7,976.8,1259.5,744.7,744.7,
Middlesex,1061.5,1061.5,1311.2,1579.6,1061.5,1061.5,
Montgomery,1064.8,1064.8,1354.1,1811.7,1064.8,1064.8,
Nelson,1635.7,1635.7,1901.9,2370.5,1635.7,1635.7,
