County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+),,
Accomack,229.02,858.9405,512.0394,1751.7613,276.834,1159.972,,
Albemarle,428.988,1361.1125,738.792,2341.5612,474.156,1664.9435,,
Alexandria,530.688,1617.88,909.6082,2717.151,598.842,2067.8405,,
Alleghany,253.056,875.8145,501.1212,1819.1031,296.646,1152.547,,
Amelia,371.136,1176.175,617.1294,2064.6839,420.534,1490.9455,,
Amherst,281.322,932.514,518.8594,1798.4914,331.776,1245.0185,,
Appomattox,288.192,954.1125,527.5952,1838.3421,336,1253.791,,
Arlington,589.596,1808.2735,1057.9742,3041.9721,669.846,2222.9625,,
Augusta,302.19,993.256,559.8042,1951.1844,347.364,1281.467,,
Bath,230.868,825.869,483.6496,1737.3294,284.754,1157.2715,,
Bedford,299.022,990.561,540.1502,1885.7559,344.982,1281.467,,
Bland,227.7,813.7195,465.3596,1687.8539,272.868,1099.23,,
Botetourt,271.284,967.6095,539.059,1928.8237,315.924,1253.12,,
Bristol,242.754,869.7425,486.1048,1784.7432,290.304,1168.0735,,
Brunswick,227.7,792.7975,461.5404,1697.4734,271.284,1069.53,,
Buchanan,247.776,838.0185,476.5506,1661.7408,298.23,1149.1755,,
Buckingham,236.94,874.467,514.2218,1762.0698,286.608,1183.6,,
Buena Vista,236.676,885.94,508.214,1757.9464,276.306,1143.7745,,
Campbell,281.322,932.514,518.8594,1798.4914,333.624,1254.4675,,
Caroline,330.72,1087.0805,596.9298,2024.5576,382.494,1410.3815,,
Carroll,235.884,855.569,480.376,1755.1957,281.322,1143.7745,,
Charles City,379.59,1215.3185,655.8608,2150.0987,429.78,1536.5845,,
Charlotte,227.172,789.4205,460.722,1691.9773,273.924,1084.38,,
Charlottesville,427.668,1396.208,746.3994,2425.8312,471.252,1694.891,,
Chesapeake,380.646,1198.4445,657.0016,2152.966,427.404,1500.2185,,
Chesterfield,427.404,1328.712,723.5772,2249.8447,476.274,1652.8215,,
Clarke,479.97,1464.562,798.901,2390.2894,519.594,1744.094,,
Colonial Heights,362.682,1137.7025,622.8582,2038.8888,417.102,1474.5445,,
Covington,253.056,875.8145,501.1212,1823.2265,302.19,1181.5705,,
Craig,271.284,967.6095,539.059,1928.8237,319.626,1270.665,,
Culpeper,311.172,1020.2555,571.268,2010.2264,356.61,1307.79,,
Cumberland,254.904,886.6165,500.5694,1790.9283,305.892,1201.8215,,
Danville,208.944,783.3485,459.3518,1655.561,254.64,1072.2305,,
Dickenson,230.868,827.893,470.5428,1713.278,286.608,1170.0975,,
Dinwiddie,370.344,1173.4745,636.4548,2090.479,416.31,1466.7015,,
Emporia,234.564,808.995,487.4688,1751.7613,286.608,1130.2775,,
Essex,264.678,939.2625,527.0496,1902.9385,315.66,1255.8205,,
Fairfax,519.858,1559.404,883.7356,2617.034,586.164,1991.539,,
Fairfax,552.612,1672.0715,940.044,2773.3257,619.044,2102.793,,
Falls Church,561.066,1695.606,952.599,2799.2533,632.298,2128.973,,
Fauquier,490.008,1511.6255,819.826,2455.066,540.198,1851.058,,
Floyd,239.586,869.7425,484.7408,1784.7432,281.85,1141.074,,
Fluvanna,385.668,1248.3955,673.7416,2225.1944,424.758,1511.6255,,
Franklin,288.984,962.885,552.4324,1912.558,332.04,1239.6175,,
Franklin,252.264,858.264,496.7502,1807.4219,294.792,1130.2775,,
Frederick,374.304,1178.8755,637.2174,2200.5441,420.27,1473.12,,
Fredericksburg,494.232,1533.73,830.0994,2484.8732,551.556,1913.813,,
Galax,235.884,855.569,480.376,1755.1957,276.564,1119.4755,,
Giles,248.568,860.9645,485.2864,1693.3553,294.792,1149.8465,,
Gloucester,356.874,1128.2535,608.1208,2045.7682,399.666,1405.657,,
Goochland,409.44,1295.6405,701.8896,2239.5256,452.76,1583.648,,
Grayson,229.548,821.821,468.6332,1703.6585,269.964,1083.027,,
Greene,424.758,1402.2855,750.2062,2432.7106,471.78,1721.2745,,
Greensville,234.564,808.995,487.4688,1751.7613,280.002,1095.1765,,
