County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Accomack,92,92,107,107,92,107,597
Albemarle,92,92,107,107,92,107,597
Alexandria,92,92,107,107,92,107,597
Alleghany,92,92,107,107,92,107,597
Amelia,92,92,107,107,92,107,597
Amherst,92,92,107,107,92,107,597
Appomattox,92,92,107,107,92,107,597
Arlington,92,92,107,107,92,107,597
Augusta,92,92,107,107,92,107,597
Bath,92,92,107,107,92,107,597
Bedford,92,92,107,107,92,107,597
Bland,92,92,107,107,92,107,597
Botetourt,92,92,107,107,92,107,597
Bristol,92,92,107,107,92,107,597
Brunswick,92,92,107,107,92,107,597
Buchanan,92,92,107,107,92,107,597
Buckingham,92,92,107,107,92,107,597
Buena Vista,92,92,107,107,92,107,597
Campbell,92,92,107,107,92,107,597
Caroline,92,92,107,107,92,107,597
Carroll,92,92,107,107,92,107,597
Charles,92,92,107,107,92,107,597
Charlotte,92,92,107,107,92,107,597
Charlottesville,92,92,107,107,92,107,597
Chesapeake,92,92,107,107,92,107,597
Chesterfield,92,92,107,107,92,107,597
Clarke,92,92,107,107,92,107,597
Colonial Heights,92,92,107,107,92,107,597
Covington,92,92,107,107,92,107,597
Craig,92,92,107,107,92,107,597
Culpeper,92,92,107,107,92,107,597
Cumberland,92,92,107,107,92,107,597
Danville,92,92,107,107,92,107,597
Dickenson,92,92,107,107,92,107,597
Dinwiddie,92,92,107,107,92,107,597
Emporia,92,92,107,107,92,107,597
Essex,92,92,107,107,92,107,597
Fairfax,92,92,107,107,92,107,597
Fairfax,92,92,107,107,92,107,597
Falls Church,92,92,107,107,92,107,597
Fauquier,92,92,107,107,92,107,597
Floyd,92,92,107,107,92,107,597
Fluvanna,92,92,107,107,92,107,597
Franklin,92,92,107,107,92,107,597
Franklin,92,92,107,107,92,107,597
Frederick,92,92,107,107,92,107,597
Fredericksburg,92,92,107,107,92,107,597
Galax,92,92,107,107,92,107,597
Giles,92,92,107,107,92,107,597
Gloucester,92,92,107,107,92,107,597
Goochland,92,92,107,107,92,107,597
Grayson,92,92,107,107,92,107,597
Greene,92,92,107,107,92,107,597
Greensville,92,92,107,107,92,107,597
Halifax,92,92,107,107,92,107,597
Hampton,92,92,107,107,92,107,597
Hanover,92,92,107,107,92,107,597
Harrisonburg,92,92,107,107,92,107,597
Henrico,92,92,107,107,92,107,597
Henry,92,92,107,107,92,107,597
Highland,92,92,107,107,92,107,597
Hopewell,92,92,107,107,92,107,597
Isle Of Wight,92,92,107,107,92,107,597
James,92,92,107,107,92,107,597
King George,92,92,107,107,92,107,597
King William,92,92,107,107,92,107,597
King And Queen,92,92,107,107,92,107,597
Lancaster,92,92,107,107,92,107,597
Lee,92,92,107,107,92,107,597
Lexington,92,92,107,107,92,107,597
Loudoun,92,92,107,107,92,107,597
Louisa,92,92,107,107,92,107,597
Lunenburg,92,92,107,107,92,107,597
Lynchburg,92,92,107,107,92,107,597
Madison,92,92,107,107,92,107,597
Manassas,92,92,107,107,92,107,597
Manassas Park,92,92,107,107,92,107,597
Martinsville,92,92,107,107,92,107,597
Mathews,92,92,107,107,92,107,597
Mecklenburg,92,92,107,107,92,107,597
Middlesex,92,92,107,107,92,107,597
Montgomery,92,92,107,107,92,107,597
Nelson,92,92,107,107,92,107,597
New Kent,92,92,107,107,92,107,597
Newport News,92,92,107,107,92,107,597
Norfolk,92,92,107,107,92,107,597
Northampton,92,92,107,107,92,107,597
Northumberland,92,92,107,107,92,107,597
Norton,92,92,107,107,92,107,597
Nottoway,92,92,107,107,92,107,597
Orange,92,92,107,107,92,107,597
Page,92,92,107,107,92,107,597
Patrick,92,92,107,107,92,107,597
Petersburg,92,92,107,107,92,107,597
Pittsylvania,92,92,107,107,92,107,597
Poquoson,92,92,107,107,92,107,597
Portsmouth,92,92,107,107,92,107,597
Powhatan,92,92,107,107,92,107,597
Prince Edward,92,92,107,107,92,107,597
Prince George,92,92,107,107,92,107,597
Prince William,92,92,107,107,92,107,597
Pulaski,92,92,107,107,92,107,597
Radford,92,92,107,107,92,107,597
Rappahannock,92,92,107,107,92,107,597
Richmond,92,92,107,107,92,107,597
Richmond,92,92,107,107,92,107,597
Roanoke,92,92,107,107,92,107,597
Roanoke,92,92,107,107,92,107,597
Rockbridge,92,92,107,107,92,107,597
Rockingham,92,92,107,107,92,107,597
Russell,92,92,107,107,92,107,597
Salem,92,92,107,107,92,107,597
Scott,92,92,107,107,92,107,597
Shenandoah,92,92,107,107,92,107,597
Smyth,92,92,107,107,92,107,597
Southampton,92,92,107,107,92,107,597
Spotsylvania,92,92,107,107,92,107,597
Stafford,92,92,107,107,92,107,597
Staunton,92,92,107,107,92,107,597
Suffolk,92,92,107,107,92,107,597
Surry,92,92,107,107,92,107,597
Sussex,92,92,107,107,92,107,597
Tazewell,92,92,107,107,92,107,597
Virginia Beach,92,92,107,107,92,107,597
Warren,92,92,107,107,92,107,597
Washington,92,92,107,107,92,107,597
Waynesboro,92,92,107,107,92,107,597
Westmoreland,92,92,107,107,92,107,597
Williamsburg,92,92,107,107,92,107,597
Winchester,92,92,107,107,92,107,597
Wise,92,92,107,107,92,107,597
Wythe,92,92,107,107,92,107,597
York,92,92,107,107,92,107,597
