County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,
Accomack,960,1920,960,1920,288,576,
Albemarle,886,1772,886,1772,266,532,
Alexandria,759,1517,759,1517,228,455,
Alleghany,989,1978,989,1978,297,593,
Amelia,823,1647,823,1647,247,494,
Amherst,935,1870,935,1870,281,561,
Appomattox,1004,2007,1004,2007,301,602,
Arlington,617,1234,617,1234,185,370,
Augusta,1036,2071,1036,2071,311,621,
Bath,1111,2222,1111,2222,333,667,
Bedford,990,1979,990,1979,297,594,
Bland,979,1959,979,1959,294,588,
Botetourt,975,1949,975,1949,292,585,
Bristol,1110,2221,1110,2221,333,666,
Brunswick,909,1818,909,1818,273,546,
Buchanan,1008,2016,1008,2016,302,605,
Buckingham,857,1715,857,1715,257,514,
Buena Vista,1038,2077,1038,2077,312,623,
Campbell,1026,2053,1026,2053,308,616,
Caroline,870,1740,870,1740,261,522,
Carroll,1007,2013,1007,2013,302,604,
Charles City,878,1756,878,1756,263,527,
Charlotte,1118,2236,1118,2236,335,671,
Charlottesville,787,1574,787,1574,236,472,
Chesapeake,1007,2013,1007,2013,302,604,
Chesterfield,931,1862,931,1862,279,558,
Clarke,909,1819,909,1819,273,546,
Colonial Heights,1103,2207,1103,2207,331,662,
Covington,1016,2031,1016,2031,305,609,
Craig,989,1977,989,1977,297,593,
Culpeper,940,1879,940,1879,282,564,
Cumberland,903,1805,903,1805,271,542,
Danville,1129,2258,1129,2258,339,677,
Dickenson,947,1894,947,1894,284,568,
Dinwiddie,947,1893,947,1893,284,568,
Emporia,1152,2304,1152,2304,346,691,
Essex,939,1878,939,1878,282,563,
Fairfax,733,1466,733,1466,220,440,
Fairfax,762,1523,762,1523,228,457,
Falls Church,737,1473,737,1473,221,442,
Fauquier,918,1836,918,1836,275,551,
Floyd,927,1853,927,1853,278,556,
Fluvanna,876,1753,876,1753,263,526,
Franklin,1260,2521,1260,2521,378,756,
Franklin,911,1823,911,1823,273,547,
Frederick,943,1885,943,1885,283,566,
Fredericksburg,1038,2076,1038,2076,311,623,
Galax,1167,2333,1167,2333,350,700,
Giles,1065,2131,1065,2131,320,639,
Gloucester,1001,2001,1001,2001,300,600,
Goochland,938,1877,938,1877,282,563,
Grayson,944,1887,944,1887,283,566,
Greene,923,1845,923,1845,277,554,
Greensville,979,1958,979,1958,294,587,
Halifax,970,1941,970,1941,291,582,
Hampton,1101,2202,1101,2202,330,661,
Hanover,946,1893,946,1893,284,568,
Harrisonburg,929,1858,929,1858,279,557,
Henrico,942,1884,942,1884,283,565,
Henry,1066,2132,1066,2132,320,640,
Highland,760,1520,760,1520,228,456,
Hopewell,1057,2114,1057,2114,317,634,
