County,Adult: 19-50,"1 Adult, 1 Child",2 Adults,"2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,Average Hourly Wage,Monthly Income,Annual Income
Accomack,13.59,21.97,20.85,36.05,15.4,25.31,22.19,3844.17,46130.04
Albemarle,21.16,29.38,28.29,45.85,22.87,32.62,30.03,5201.2,62414.4
Alexandria,25.01,34.4,31.96,52,27.59,38.27,34.87,6039.48,72473.76
Alleghany,14.5,21.97,21.1,37.03,16.15,25.2,22.66,3924.71,47096.52
Amelia,18.97,26.41,25.55,41.02,20.84,30.18,27.16,4704.11,56449.32
Amherst,15.57,22.76,21.94,36.73,17.48,26.57,23.51,4071.93,48863.16
Appomattox,15.83,23.09,22.26,37.31,17.64,26.7,23.81,4123.89,49486.68
Arlington,27.24,37.52,34.63,56.51,29.68,40.83,37.74,6536.57,78438.84
Augusta,16.36,23.89,22.84,39.04,18.07,27.11,24.55,4252.06,51024.72
Bath,13.66,21.28,20.36,35.84,15.7,25.27,22.02,3813.86,45766.32
Bedford,16.24,23.59,22.8,38,17.98,27.11,24.29,4207.03,50484.36
Bland,13.54,20.9,20.18,35.12,15.25,24.41,21.57,3735.92,44831.04
Botetourt,15.19,23.36,22.46,38.65,16.88,26.69,23.87,4134.28,49611.36
Bristol,14.11,21.71,21.01,36.53,15.91,25.43,22.45,3888.34,46660.08
Brunswick,13.54,20.66,19.87,35.26,15.19,23.97,21.42,3709.94,44519.28
Buchanan,14.3,21.3,20.54,34.74,16.21,25.15,22.04,3817.33,45807.96
Buckingham,13.89,22.15,21.08,36.2,15.77,25.66,22.46,3890.07,46680.84
Buena Vista,13.88,22.17,21.25,36.14,15.38,25.07,22.32,3865.82,46389.84
Campbell,15.57,22.76,21.94,36.73,17.55,26.71,23.54,4077.13,48925.56
Caroline,17.44,25.28,24.23,40.32,19.4,29.02,25.95,4494.54,53934.48
Carroll,13.85,21.5,20.8,36.1,15.57,25.07,22.15,3836.38,46036.56
Charles City,19.29,27.19,26.13,42.51,21.19,30.82,27.86,4825.35,57904.2
Charlotte,13.52,20.62,19.82,35.18,15.29,24.19,21.44,3713.41,44560.92
Charlottesville,21.11,29.75,28.81,47.32,22.76,33.04,30.47,5277.4,63328.8
Chesapeake,19.33,27.06,25.88,42.56,21.1,30.31,27.71,4799.37,57592.44
Chesterfield,21.1,28.93,27.81,44.25,22.95,32.45,29.58,5123.26,61479.12
Clarke,23.09,30.93,29.81,46.7,24.59,33.73,31.48,5452.34,65428.08
