"ANSICODE","HYDROID","FULLNAME","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON"
NA,"1101800576989",NA,"H2030",0,442,"+37.2895290","-80.0931128"
NA,"1101800576990",NA,"H2030",0,259,"+37.2818676","-80.0371916"
NA,"1101800576982",NA,"H2030",0,472,"+37.3130320","-80.0341378"
NA,"1101800576979","Mason","H3010",0,1300,"+37.3129304","-80.0325945"
NA,"1101800576986",NA,"H2030",0,379,"+37.2618465","-80.0506892"
NA,"1101800576999",NA,"H2030",0,6263,"+37.3060069","-80.0673794"
NA,"1101800577000",NA,"H2030",0,840,"+37.3089128","-80.0582189"
NA,"1101800576981",NA,"H2030",0,2153,"+37.2705624","-80.0385836"
NA,"1101800577003",NA,"H2030",0,56,"+37.2735154","-80.0138685"
NA,"1101800576984",NA,"H2030",0,2445,"+37.2665308","-80.0717855"
NA,"1101800576996",NA,"H2030",0,1200,"+37.2916589","-80.0704504"
NA,"1101800576998",NA,"H2030",0,1116,"+37.3047135","-80.0604759"
NA,"1106081670997","Roanoke Riv","H3010",0,241795,"+37.2860537","-80.0796001"
NA,"1101800576983",NA,"H2030",0,132,"+37.2866867","-80.0788332"
NA,"1101800576985",NA,"H2030",0,1880,"+37.2600497","-80.0558620"
NA,"1101800577004",NA,"H2030",0,1035,"+37.3090561","-80.0593495"
NA,"1101800577006",NA,"H2030",0,2598,"+37.3076946","-80.0586979"
NA,"1101800576992",NA,"H2030",0,169,"+37.2749987","-80.0242975"
NA,"1101800577001",NA,"H2030",0,3661,"+37.2969830","-80.0294072"
NA,"1103737855721",NA,"H2030",0,610,"+37.2710013","-80.0145527"
NA,"1101800577005",NA,"H2030",0,1537,"+37.3043349","-80.0581542"
NA,"1101800576987",NA,"H2030",0,342,"+37.2673160","-80.0282247"
NA,"1101800576991",NA,"H2030",0,391,"+37.2883116","-80.0315298"
NA,"1101800576997",NA,"H2030",0,737,"+37.3029632","-80.0589845"
NA,"1101800576993",NA,"H2030",0,917,"+37.2841660","-80.0242757"
NA,"1101800576995","Lake Spg","H2030",0,2095,"+37.2911911","-80.0705647"
NA,"1101800577002",NA,"H2030",0,332,"+37.3115988","-80.0409885"
NA,"1101751299523",NA,"H2030",0,539,"+37.2449062","-80.3784077"
NA,"1101751299226",NA,"H2030",0,77,"+37.2721195","-80.3999207"
NA,"1101751299133",NA,"H2030",0,140,"+37.2655866","-80.3794905"
NA,"1101751298989",NA,"H2030",0,225,"+37.2791076","-80.3919799"
NA,"1101751298951",NA,"H2030",0,499,"+37.3063419","-80.2883746"
NA,"1101751298991",NA,"H2030",0,382,"+37.2904242","-80.3019647"
NA,"1101751299242",NA,"H2030",0,409,"+37.2495430","-80.3484652"
NA,"1101751299340",NA,"H2030",0,976,"+37.2285201","-80.3995173"
NA,"1101751299437",NA,"H2030",0,307,"+37.2923949","-80.4234193"
NA,"1101751299074",NA,"H2030",0,246,"+37.1621642","-80.4378314"
NA,"1101751299388",NA,"H2030",0,5011,"+37.1689486","-80.5163758"
NA,"1101751299013",NA,"H2030",0,345,"+37.1622363","-80.4687022"
NA,"1101751299305",NA,"H2030",0,375,"+37.1602683","-80.4269672"
NA,"1101751299433",NA,"H2030",0,234,"+37.1527804","-80.4020375"
NA,"1101751299455",NA,"H2030",0,194,"+37.1372487","-80.4133027"
